Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,source_dataset,source_record_id,reaction_id,reaction_group_id,record_class,is_control,ligand_raw,ligand,ligand_is_blank,base_raw,base,base_is_blank,solvent_1_raw,solvent_1,solvent_normalization_note,aqueous_cosolvent,organic_to_water_volume_ratio,catalyst,catalyst_equiv,ligand_equiv_reported,base_equiv_reported,reactant_1_equiv,reactant_1_mmol,reactant_2_equiv,temperature_c,residence_time_min,pressure_bar,flow_rate_ml_min,injection_volume_per_component_ul,reaction_segment_interval_s,reaction_environment,yield_percent,yield_observed,zero_yield,yield_type,measurement_method,product_mass_ion_count,substrate_smiles,product_smiles
969,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaOH,2.5,DMF,47.2239119947404,28659.428325798137,perera_suzuki_miyaura_2018,969,PERERA_SM_0969,PERERA_SM_1c_2a,main_matrix,False,XPhos,XPhos,False,NaOH,NaOH,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,47.2239119947404,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,28659.428325798137,not_reported,not_reported
970,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaOH,2.5,DMF,40.0320325336921,49472.77184835474,perera_suzuki_miyaura_2018,970,PERERA_SM_0970,PERERA_SM_1c_2a,main_matrix,False,dppf,dppf,False,NaOH,NaOH,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,40.0320325336921,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,49472.77184835474,not_reported,not_reported
971,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaOH,2.5,DMF,26.733989167063,17897.846397803434,perera_suzuki_miyaura_2018,971,PERERA_SM_0971,PERERA_SM_1c_2a,main_matrix,False,Xantphos,Xantphos,False,NaOH,NaOH,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,26.733989167063,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,17897.846397803434,not_reported,not_reported
972,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,NaOH,2.5,DMF,25.5504262192032,52913.63895714827,perera_suzuki_miyaura_2018,972,PERERA_SM_0972,PERERA_SM_1c_2a,main_matrix,False,None,NULL_COMPONENT,True,NaOH,NaOH,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,25.5504262192032,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,52913.63895714827,not_reported,not_reported
973,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaHCO3,2.5,DMF,9.29353091704395,8492.66396882748,perera_suzuki_miyaura_2018,973,PERERA_SM_0973,PERERA_SM_1c_2a,main_matrix,False,P(tBu)3,P(tBu)3,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,9.29353091704395,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,8492.66396882748,not_reported,not_reported
974,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaHCO3,2.5,DMF,92.2769390802099,179571.3278835612,perera_suzuki_miyaura_2018,974,PERERA_SM_0974,PERERA_SM_1c_2a,main_matrix,False,P(Ph)3 ,P(Ph)3 ,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,92.2769390802099,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,179571.3278835612,not_reported,not_reported
975,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaHCO3,2.5,DMF,54.3634752974235,33089.62834410313,perera_suzuki_miyaura_2018,975,PERERA_SM_0975,PERERA_SM_1c_2a,main_matrix,False,AmPhos,AmPhos,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,54.3634752974235,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,33089.62834410313,not_reported,not_reported
976,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaHCO3,2.5,DMF,88.5465979213025,173567.32804768055,perera_suzuki_miyaura_2018,976,PERERA_SM_0976,PERERA_SM_1c_2a,main_matrix,False,P(Cy)3,P(Cy)3,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,88.5465979213025,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,173567.32804768055,not_reported,not_reported
977,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaHCO3,2.5,DMF,27.5512880242055,19292.15097846663,perera_suzuki_miyaura_2018,977,PERERA_SM_0977,PERERA_SM_1c_2a,main_matrix,False,P(o-Tol)3,P(o-Tol)3,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,27.5512880242055,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,19292.15097846663,not_reported,not_reported
978,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaHCO3,2.5,DMF,43.1959070349507,93818.59421480416,perera_suzuki_miyaura_2018,978,PERERA_SM_0978,PERERA_SM_1c_2a,main_matrix,False,CataCXium A,CataCXium A,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,43.1959070349507,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,93818.59421480416,not_reported,not_reported
979,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,DMF,64.6909291947542,35996.31975176739,perera_suzuki_miyaura_2018,979,PERERA_SM_0979,PERERA_SM_1c_2a,main_matrix,False,SPhos,SPhos,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,64.6909291947542,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,35996.31975176739,not_reported,not_reported
980,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,DMF,26.736582859779,49044.668231977375,perera_suzuki_miyaura_2018,980,PERERA_SM_0980,PERERA_SM_1c_2a,main_matrix,False,dtbpf,dtbpf,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,26.736582859779,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,49044.668231977375,not_reported,not_reported
981,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,DMF,52.8515237001515,31146.313943241235,perera_suzuki_miyaura_2018,981,PERERA_SM_0981,PERERA_SM_1c_2a,main_matrix,False,XPhos,XPhos,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,52.8515237001515,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,31146.313943241235,not_reported,not_reported
982,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,DMF,80.2761512511913,126961.33560364289,perera_suzuki_miyaura_2018,982,PERERA_SM_0982,PERERA_SM_1c_2a,main_matrix,False,dppf,dppf,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,80.2761512511913,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,126961.33560364289,not_reported,not_reported
983,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaHCO3,2.5,DMF,0.576354581847615,6823.840928050139,perera_suzuki_miyaura_2018,983,PERERA_SM_0983,PERERA_SM_1c_2a,main_matrix,False,Xantphos,Xantphos,False,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,0.576354581847615,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,6823.840928050139,not_reported,not_reported
984,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,NaHCO3,2.5,DMF,25.691197237042,53027.45315387982,perera_suzuki_miyaura_2018,984,PERERA_SM_0984,PERERA_SM_1c_2a,main_matrix,False,None,NULL_COMPONENT,True,NaHCO3,NaHCO3,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,25.691197237042,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,53027.45315387982,not_reported,not_reported
985,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,CsF,2.5,DMF,8.71215607848777,8078.702943311204,perera_suzuki_miyaura_2018,985,PERERA_SM_0985,PERERA_SM_1c_2a,main_matrix,False,P(tBu)3,P(tBu)3,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,8.71215607848777,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,8078.702943311204,not_reported,not_reported
986,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,CsF,2.5,DMF,91.1445698800749,167916.08182379723,perera_suzuki_miyaura_2018,986,PERERA_SM_0986,PERERA_SM_1c_2a,main_matrix,False,P(Ph)3 ,P(Ph)3 ,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,91.1445698800749,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,167916.08182379723,not_reported,not_reported
987,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,CsF,2.5,DMF,76.4355701961598,45012.563131378425,perera_suzuki_miyaura_2018,987,PERERA_SM_0987,PERERA_SM_1c_2a,main_matrix,False,AmPhos,AmPhos,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,76.4355701961598,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,45012.563131378425,not_reported,not_reported
988,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,CsF,2.5,DMF,94.4626212201736,176790.08381788307,perera_suzuki_miyaura_2018,988,PERERA_SM_0988,PERERA_SM_1c_2a,main_matrix,False,P(Cy)3,P(Cy)3,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,94.4626212201736,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,176790.08381788307,not_reported,not_reported
989,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,CsF,2.5,DMF,60.0045218174972,35807.10815924727,perera_suzuki_miyaura_2018,989,PERERA_SM_0989,PERERA_SM_1c_2a,main_matrix,False,P(o-Tol)3,P(o-Tol)3,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,60.0045218174972,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,35807.10815924727,not_reported,not_reported
990,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,CsF,2.5,DMF,94.8036555322924,149507.46167813495,perera_suzuki_miyaura_2018,990,PERERA_SM_0990,PERERA_SM_1c_2a,main_matrix,False,CataCXium A,CataCXium A,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,94.8036555322924,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,149507.46167813495,not_reported,not_reported
991,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,CsF,2.5,DMF,77.8951815355133,43601.406243567755,perera_suzuki_miyaura_2018,991,PERERA_SM_0991,PERERA_SM_1c_2a,main_matrix,False,SPhos,SPhos,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,77.8951815355133,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,43601.406243567755,not_reported,not_reported
992,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,CsF,2.5,DMF,54.8864102297303,83692.70783421338,perera_suzuki_miyaura_2018,992,PERERA_SM_0992,PERERA_SM_1c_2a,main_matrix,False,dtbpf,dtbpf,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,54.8864102297303,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,83692.70783421338,not_reported,not_reported
993,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,CsF,2.5,DMF,87.9862874986363,49237.781373059115,perera_suzuki_miyaura_2018,993,PERERA_SM_0993,PERERA_SM_1c_2a,main_matrix,False,XPhos,XPhos,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,87.9862874986363,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,49237.781373059115,not_reported,not_reported
994,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,CsF,2.5,DMF,97.3170157569852,149238.9525702679,perera_suzuki_miyaura_2018,994,PERERA_SM_0994,PERERA_SM_1c_2a,main_matrix,False,dppf,dppf,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,97.3170157569852,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,149238.9525702679,not_reported,not_reported
995,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,CsF,2.5,DMF,6.68843758003913,8395.649257568486,perera_suzuki_miyaura_2018,995,PERERA_SM_0995,PERERA_SM_1c_2a,main_matrix,False,Xantphos,Xantphos,False,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,6.68843758003913,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,8395.649257568486,not_reported,not_reported
996,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,CsF,2.5,DMF,46.8416411184166,81581.05240024875,perera_suzuki_miyaura_2018,996,PERERA_SM_0996,PERERA_SM_1c_2a,main_matrix,False,None,NULL_COMPONENT,True,CsF,CsF,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,46.8416411184166,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,81581.05240024875,not_reported,not_reported
997,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,K3PO4,2.5,DMF,19.6209213859596,15249.570605265913,perera_suzuki_miyaura_2018,997,PERERA_SM_0997,PERERA_SM_1c_2a,main_matrix,False,P(tBu)3,P(tBu)3,False,K3PO4,K3PO4,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,19.6209213859596,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,15249.570605265913,not_reported,not_reported
998,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,K3PO4,2.5,DMF,89.868453870243,166482.21836970613,perera_suzuki_miyaura_2018,998,PERERA_SM_0998,PERERA_SM_1c_2a,main_matrix,False,P(Ph)3 ,P(Ph)3 ,False,K3PO4,K3PO4,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,89.868453870243,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,166482.21836970613,not_reported,not_reported
999,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,K3PO4,2.5,DMF,69.9271913427484,41154.471328237385,perera_suzuki_miyaura_2018,999,PERERA_SM_0999,PERERA_SM_1c_2a,main_matrix,False,AmPhos,AmPhos,False,K3PO4,K3PO4,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,69.9271913427484,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,41154.471328237385,not_reported,not_reported
1000,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,K3PO4,2.5,DMF,55.6445065342882,124416.34897865793,perera_suzuki_miyaura_2018,1000,PERERA_SM_1000,PERERA_SM_1c_2a,main_matrix,False,P(Cy)3,P(Cy)3,False,K3PO4,K3PO4,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,55.6445065342882,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,124416.34897865793,not_reported,not_reported
1001,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,K3PO4,2.5,DMF,46.8284635075335,28130.497634875996,perera_suzuki_miyaura_2018,1001,PERERA_SM_1001,PERERA_SM_1c_2a,main_matrix,False,P(o-Tol)3,P(o-Tol)3,False,K3PO4,K3PO4,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,46.8284635075335,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,28130.497634875996,not_reported,not_reported
1002,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,K3PO4,2.5,DMF,69.4849051478207,116104.87226506231,perera_suzuki_miyaura_2018,1002,PERERA_SM_1002,PERERA_SM_1c_2a,main_matrix,False,CataCXium A,CataCXium A,False,K3PO4,K3PO4,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,69.4849051478207,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,116104.87226506231,not_reported,not_reported
1003,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,K3PO4,2.5,DMF,46.4440818732198,30720.85155201901,perera_suzuki_miyaura_2018,1003,PERERA_SM_1003,PERERA_SM_1c_2a,main_matrix,False,SPhos,SPhos,False,K3PO4,K3PO4,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,46.4440818732198,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,30720.85155201901,not_reported,not_reported
1004,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,K3PO4,2.5,DMF,35.1183819899968,67353.0064387987,perera_suzuki_miyaura_2018,1004,PERERA_SM_1004,PERERA_SM_1c_2a,main_matrix,False,dtbpf,dtbpf,False,K3PO4,K3PO4,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,35.1183819899968,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,67353.0064387987,not_reported,not_reported
1005,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,K3PO4,2.5,DMF,43.4972344170685,26783.52081489847,perera_suzuki_miyaura_2018,1005,PERERA_SM_1005,PERERA_SM_1c_2a,main_matrix,False,XPhos,XPhos,False,K3PO4,K3PO4,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,43.4972344170685,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,26783.52081489847,not_reported,not_reported
1006,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,K3PO4,2.5,DMF,65.4814855584207,102292.84185266512,perera_suzuki_miyaura_2018,1006,PERERA_SM_1006,PERERA_SM_1c_2a,main_matrix,False,dppf,dppf,False,K3PO4,K3PO4,False,DMF,DMF,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,65.4814855584207,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,102292.84185266512,not_reported,not_reported
